customer_id,churn_proba,ltv_inr,offer,offer_cost_inr,offer_benefit_inr,offer_net_inr,roi_per_rupee,risk_segment,customer_value_segment
8017-LXHFA,0.6480733356503051,884.56,Courtesy call,40.0,85.99,45.99,2.15,High,High
5567-WSELE,0.8342199289268528,883.16,Protection bundle,120.0,257.86,137.86,2.149,High,High
1173-XZPYF,0.6879206494439944,832.75,Courtesy call,40.0,85.93,45.93,2.148,High,High
5168-MSWXT,0.6453016165413669,884.56,Courtesy call,40.0,85.62,45.62,2.141,High,High
5349-IECLD,0.644056936506266,886.43,Courtesy call,40.0,85.64,45.64,2.141,High,High
2252-ISRNH,0.48776121890130647,1168.89,Courtesy call,40.0,85.52,45.52,2.138,Medium,High
5923-GXUOC,0.5849914136792188,974.65,Courtesy call,40.0,85.52,45.52,2.138,High,High
5760-IFJOZ,0.565736585447722,1007.79,Courtesy call,40.0,85.52,45.52,2.138,High,High
3217-FZDMN,0.646080059049581,881.76,Courtesy call,40.0,85.45,45.45,2.136,High,High
4123-DVHPH,0.6924725086335728,822.01,Courtesy call,40.0,85.38,45.38,2.135,High,High
7279-BUYWN,0.5386892225094326,1056.81,Courtesy call,40.0,85.39,45.39,2.135,High,High
2929-ERCFZ,0.6470558094163312,879.43,Courtesy call,40.0,85.36,45.36,2.134,High,High
2984-AFWNC,0.6383406952170246,890.63,Courtesy call,40.0,85.28,45.28,2.132,High,High
6242-MBHPK,0.6402433479908197,887.83,Courtesy call,40.0,85.26,45.26,2.132,High,High
8709-KRDVL,0.607918252499833,933.57,Courtesy call,40.0,85.13,45.13,2.128,High,High
9057-SIHCH,0.8083242649108398,901.83,Protection bundle,120.0,255.14,135.14,2.126,High,High
0125-LZQXK,0.5991758302685751,946.18,Courtesy call,40.0,85.04,45.04,2.126,High,High
0295-PPHDO,0.8174247289117458,891.1,Protection bundle,120.0,254.94,134.94,2.125,High,High
5348-CAGXB,0.6777710357509199,836.02,Courtesy call,40.0,84.99,44.99,2.125,High,High
3254-YRILK,0.6877137015580131,823.41,Courtesy call,40.0,84.94,44.94,2.124,High,High
6821-BUXUX,0.6277290598611129,902.3,Courtesy call,40.0,84.96,44.96,2.124,High,High
5429-LWCMV,0.6803166859135122,832.28,Courtesy call,40.0,84.93,44.93,2.123,High,High
3158-MOERK,0.8121614360464576,896.23,Protection bundle,120.0,254.76,134.76,2.123,High,High
2845-AFFTX,0.6067895859653396,931.71,Courtesy call,40.0,84.8,44.8,2.12,High,High
1866-RZZQS,0.6137498852948846,918.64,Courtesy call,40.0,84.57,44.57,2.114,High,High
4395-PZMSN,0.7052548036372464,798.67,Courtesy call,40.0,84.49,44.49,2.112,High,High
8784-CGILN,0.6041050336265672,932.17,Courtesy call,40.0,84.47,44.47,2.112,Medium,High
5167-ZFFMM,0.6636144831736684,848.15,Courtesy call,40.0,84.43,44.43,2.111,High,High
7851-WZEKY,0.8137045319720346,888.3,Protection bundle,120.0,252.98,132.98,2.108,High,High
4910-GMJOT,0.8180116454170767,883.16,Protection bundle,120.0,252.85,132.85,2.107,High,High
9692-TUSXH,0.625325783759398,896.7,Courtesy call,40.0,84.11,44.11,2.103,High,High
3663-MITLP,0.5930329282863724,945.24,Courtesy call,40.0,84.08,44.08,2.102,High,High
2660-EMUBI,0.8092201849805075,890.16,Protection bundle,120.0,252.12,132.12,2.101,High,High
4039-HEUNW,0.6219492928713847,900.9,Courtesy call,40.0,84.05,44.05,2.101,High,High
8063-RJYNF,0.6362358561532339,879.89,Courtesy call,40.0,83.97,43.97,2.099,High,High
4884-ZTHVF,0.6871879355938301,813.14,Courtesy call,40.0,83.82,43.82,2.095,High,High
0334-GDDSO,0.7353974880048634,759.46,Courtesy call,40.0,83.78,43.78,2.094,High,High
8149-RSOUN,0.8185255334165579,876.16,Protection bundle,120.0,251.01,131.01,2.092,High,High
8242-SOQUO,0.7051542920780604,790.74,Courtesy call,40.0,83.64,43.64,2.091,High,High
2439-LYPMQ,0.581756538105457,957.85,Courtesy call,40.0,83.59,43.59,2.09,High,High
8118-TJAFG,0.5881683435136044,947.58,Courtesy call,40.0,83.6,43.6,2.09,High,High
0939-YAPAF,0.5952860126061609,935.91,Courtesy call,40.0,83.57,43.57,2.089,High,High
9436-ZBZCT,0.6629850008068162,839.75,Courtesy call,40.0,83.51,43.51,2.088,High,High
8397-MVTAZ,0.5955628093478861,934.04,Courtesy call,40.0,83.44,43.44,2.086,High,High
6402-ZFPPI,0.579305921183355,959.71,Courtesy call,40.0,83.39,43.39,2.085,Medium,High
7903-CMPEY,0.7411517886848245,749.66,Courtesy call,40.0,83.34,43.34,2.084,High,High
2034-CGRHZ,0.5780164843566394,961.11,Courtesy call,40.0,83.33,43.33,2.083,Medium,High
7379-FNIUJ,0.5935711348303535,935.44,Courtesy call,40.0,83.29,43.29,2.082,High,High
3049-SOLAY,0.8030090678318667,888.76,Protection bundle,120.0,249.79,129.79,2.082,High,High
8429-XIBUM,0.5855851818440072,946.18,Courtesy call,40.0,83.11,43.11,2.078,Medium,High
8374-XGEJJ,0.5877732982520019,942.91,Courtesy call,40.0,83.13,43.13,2.078,High,High
6116-RFVHN,0.5907474165636094,937.78,Courtesy call,40.0,83.1,43.1,2.077,High,High
3211-AAPKX,0.6019582161870212,920.04,Courtesy call,40.0,83.07,43.07,2.077,Medium,High
5380-WJKOV,0.5569119323769798,992.86,Courtesy call,40.0,82.94,42.94,2.074,High,High
3793-MMFUH,0.8008158665105825,887.36,Protection bundle,120.0,248.71,128.71,2.073,High,High
5339-PXDVH,0.652545645169238,846.29,Courtesy call,40.0,82.84,42.84,2.071,High,High
5569-OUICF,0.5831711205775358,945.71,Courtesy call,40.0,82.73,42.73,2.068,Medium,High
5609-CEBID,0.6264001860181351,878.49,Courtesy call,40.0,82.54,42.54,2.064,High,High
8245-UMPYT,0.7862252799786111,899.97,Protection bundle,120.0,247.65,127.65,2.064,High,High
1666-JXLKU,0.5881306842126686,934.04,Courtesy call,40.0,82.4,42.4,2.06,High,High
3320-VEOYC,0.7909097392739064,892.5,Protection bundle,120.0,247.06,127.06,2.059,High,High
5597-GLBUC,0.6877005123531545,797.74,Courtesy call,40.0,82.29,42.29,2.057,High,High
4902-OHLSK,0.5954743036959895,920.97,Courtesy call,40.0,82.26,42.26,2.057,High,High
2697-NQBPF,0.557790634703321,983.52,Courtesy call,40.0,82.29,42.29,2.057,High,High
5981-ZVXOT,0.39087718876854505,1401.77,Courtesy call,40.0,82.19,42.19,2.055,Medium,High
5565-FILXA,0.7840650104569167,897.63,Protection bundle,120.0,246.33,126.33,2.053,High,High
2123-AGEEN,0.6952755882233039,787.47,Courtesy call,40.0,82.13,42.13,2.053,High,High
9061-TIHDA,0.7915011262759652,889.23,Protection bundle,120.0,246.34,126.34,2.053,High,High
9547-ITEFG,0.5713085365268079,957.85,Courtesy call,40.0,82.08,42.08,2.052,High,High
1251-STYSZ,0.7295285433606529,749.19,Courtesy call,40.0,81.98,41.98,2.05,High,High
1628-BIZYP,0.6881073161627949,793.54,Courtesy call,40.0,81.91,41.91,2.048,High,High
9851-KIELU,0.5309222468051554,1027.87,Courtesy call,40.0,81.86,41.86,2.046,High,High
5095-AESKG,0.6386869412807892,854.22,Courtesy call,40.0,81.84,41.84,2.046,High,High
6907-NZZIJ,0.5895576932010673,925.64,Courtesy call,40.0,81.86,41.86,2.046,High,High
7074-IEVOJ,0.7355505879702768,741.26,Courtesy call,40.0,81.79,41.79,2.045,High,Mid
1304-NECVQ,0.7437094614489921,733.32,Courtesy call,40.0,81.81,41.81,2.045,High,Mid
0220-EBGCE,0.6805118003067087,801.47,Courtesy call,40.0,81.81,41.81,2.045,High,High
6502-HCJTI,0.6164418951238952,884.09,Courtesy call,40.0,81.75,41.75,2.044,High,High
2202-CUYXZ,0.6882336214510263,792.14,Courtesy call,40.0,81.78,41.78,2.044,High,High
5868-YWPDW,0.6928598546763587,786.07,Courtesy call,40.0,81.7,41.7,2.042,High,High
0480-BIXDE,0.6021431947428948,903.7,Courtesy call,40.0,81.62,41.62,2.041,High,High
2369-UAPKZ,0.5601080396846443,971.85,Courtesy call,40.0,81.65,41.65,2.041,High,High
9647-ERGBE,0.5826320959479862,934.04,Courtesy call,40.0,81.63,41.63,2.041,High,High
2080-CAZNM,0.5579401515953244,974.65,Courtesy call,40.0,81.57,41.57,2.039,High,High
1465-VINDH,0.5702287258712759,953.18,Courtesy call,40.0,81.53,41.53,2.038,High,High
2840-XANRC,0.6241565048979483,869.62,Courtesy call,40.0,81.42,41.42,2.035,High,High
8161-QYMTT,0.793741970017813,878.49,Protection bundle,120.0,244.05,124.05,2.034,High,High
4686-UXDML,0.5812800777886522,932.17,Courtesy call,40.0,81.28,41.28,2.032,Medium,High
2665-NPTGL,0.5917147470749506,915.84,Courtesy call,40.0,81.29,41.29,2.032,Medium,High
0564-JJHGS,0.7804096971018322,891.56,Protection bundle,120.0,243.52,123.52,2.029,High,High
6087-MVHJH,0.6553867684384038,825.75,Courtesy call,40.0,81.18,41.18,2.029,High,High
6645-MXQJT,0.5966045705169496,906.5,Courtesy call,40.0,81.12,41.12,2.028,High,High
4795-KTRTH,0.7136064450580537,756.2,Courtesy call,40.0,80.94,40.94,2.024,High,High
5219-YIPTK,0.5535947040541835,974.65,Courtesy call,40.0,80.93,40.93,2.023,High,High
6521-YYTYI,0.7957809104342576,871.02,Protection bundle,120.0,242.6,122.6,2.022,High,High
7943-RQCHR,0.7838379177048277,884.56,Protection bundle,120.0,242.67,122.67,2.022,High,High
4626-GYCZP,0.7910298433932447,876.16,Protection bundle,120.0,242.57,122.57,2.021,High,High
9524-EGPJC,0.6407844694739656,841.15,Courtesy call,40.0,80.85,40.85,2.021,High,High
6772-KSATR,0.7060036062380931,762.73,Courtesy call,40.0,80.77,40.77,2.019,High,High
1658-BYGOY,0.7766325702791386,891.1,Protection bundle,120.0,242.22,122.22,2.019,High,High
6877-TJMBR,0.6793837005684447,791.67,Courtesy call,40.0,80.68,40.68,2.017,High,High
4566-NECEV,0.5964075172645765,901.37,Courtesy call,40.0,80.64,40.64,2.016,High,High
3565-UNOCC,0.5803923289259763,924.71,Courtesy call,40.0,80.5,40.5,2.013,Medium,High
6595-YGXIT,0.6463567142233719,830.41,Courtesy call,40.0,80.51,40.51,2.013,High,High
7314-OXENN,0.7003316639521789,765.53,Courtesy call,40.0,80.42,40.42,2.01,High,High
1379-FRVEB,0.6307071677014698,849.55,Courtesy call,40.0,80.37,40.37,2.009,High,High
4433-JCGCG,0.5677562178703688,942.91,Courtesy call,40.0,80.3,40.3,2.008,High,High
6956-SMUCM,0.5794509458796391,924.24,Courtesy call,40.0,80.33,40.33,2.008,High,High
8922-LIEGH,0.6390297960146041,837.42,Courtesy call,40.0,80.27,40.27,2.007,High,High
7526-BEZQB,0.7668568465606753,896.7,Protection bundle,120.0,240.67,120.67,2.006,High,High
2568-OIADY,0.5757453412043256,928.91,Courtesy call,40.0,80.22,40.22,2.006,High,High
5091-HFAZW,0.6281780966704112,850.95,Courtesy call,40.0,80.18,40.18,2.005,High,High
8739-WWKDU,0.6398029132315654,835.55,Courtesy call,40.0,80.19,40.19,2.005,High,High
6692-UDPJC,0.6247729169783154,855.62,Courtesy call,40.0,80.19,40.19,2.005,High,High
3096-JRDSO,0.5491375337441885,973.72,Courtesy call,40.0,80.21,40.21,2.005,Medium,High
8329-UTMVM,0.3946398239538519,1353.9,Courtesy call,40.0,80.15,40.15,2.004,Low,High
3988-RQIXO,0.8055929782358525,852.35,Protection bundle,120.0,240.33,120.33,2.003,High,High
9734-YWGEX,0.5820141315926854,917.7,Courtesy call,40.0,80.12,40.12,2.003,High,High
9957-YODKZ,0.7075081157380847,754.33,Courtesy call,40.0,80.05,40.05,2.001,High,High
5935-FCCNB,0.7802414554966645,879.43,Protection bundle,120.0,240.16,120.16,2.001,High,High
7774-OJSXI,0.39820439732033086,1338.37,Courtesy call,40.0,79.94,39.94,1.999,Medium,High
5442-UTCVD,0.6216773965550868,857.49,Courtesy call,40.0,79.96,39.96,1.999,High,High
0886-QGENL,0.5629078832142782,945.24,Courtesy call,40.0,79.81,39.81,1.995,High,High
9658-WYUFB,0.6037482356349309,881.29,Courtesy call,40.0,79.81,39.81,1.995,High,High
9415-DPEWS,0.6444608453308737,824.81,Courtesy call,40.0,79.73,39.73,1.993,High,High
8808-ELEHO,0.7004547390896929,758.53,Courtesy call,40.0,79.7,39.7,1.992,High,High
8634-MPHTR,0.5685918964670179,934.04,Courtesy call,40.0,79.66,39.66,1.992,High,High
4598-XLKNJ,0.5770469829577209,919.57,Courtesy call,40.0,79.6,39.6,1.99,High,High
6946-LMSQS,0.460519185402955,1152.07,Courtesy call,40.0,79.58,39.58,1.99,Medium,High
7225-CBZPL,0.7704793585667111,885.03,Protection bundle,120.0,238.66,118.66,1.989,High,High
1112-CUNAO,0.6318896387674113,838.82,Courtesy call,40.0,79.51,39.51,1.988,High,High
9979-RGMZT,0.4357597328082442,1216.76,Courtesy call,40.0,79.53,39.53,1.988,Medium,High
0916-QOFDP,0.7607891462959666,894.36,Protection bundle,120.0,238.15,118.15,1.985,High,High
9809-IMGCQ,0.7529565430792056,902.77,Protection bundle,120.0,237.91,117.91,1.983,High,High
9133-AYJZG,0.5735823805882844,921.44,Courtesy call,40.0,79.28,39.28,1.982,Medium,High
0447-RXSGD,0.5674919300712856,930.31,Courtesy call,40.0,79.19,39.19,1.98,Medium,High
9971-ZWPBF,0.5192716730373627,1016.66,Courtesy call,40.0,79.19,39.19,1.98,High,High
1597-LHYNC,0.5946429672577456,886.9,Courtesy call,40.0,79.11,39.11,1.978,High,High
4289-DTDKW,0.5570969412531204,945.71,Courtesy call,40.0,79.03,39.03,1.976,High,High
8818-DOPVL,0.5403344907571234,975.12,Courtesy call,40.0,79.03,39.03,1.976,High,High
6005-OBZPH,0.6328987246547711,832.28,Courtesy call,40.0,79.01,39.01,1.975,High,High
9600-NAXZN,0.5549925160647251,946.64,Courtesy call,40.0,78.81,38.81,1.97,High,High
3452-GWUIN,0.760612216112125,886.43,Protection bundle,120.0,235.98,115.98,1.967,High,High
2982-VPSGI,0.7675895908485239,877.56,Protection bundle,120.0,235.76,115.76,1.965,High,High
7426-RHZGU,0.5853583483029603,895.3,Courtesy call,40.0,78.61,38.61,1.965,High,High
4521-YEEHE,0.6317252908690298,829.48,Courtesy call,40.0,78.6,38.6,1.965,High,High
4391-RESHN,0.5394532617731995,971.38,Courtesy call,40.0,78.6,38.6,1.965,Medium,High
7493-TPUWZ,0.7081396183489714,738.92,Courtesy call,40.0,78.49,38.49,1.962,High,Mid
1723-HKXJQ,0.5507581972553588,949.91,Courtesy call,40.0,78.48,38.48,1.962,High,High
1415-YFWLT,0.8069059686062966,833.68,Protection bundle,120.0,235.45,115.45,1.962,High,High
7240-FQLHE,0.5616641409053209,931.24,Courtesy call,40.0,78.46,38.46,1.961,Medium,High
4659-NZRUF,0.5881175495827511,888.3,Courtesy call,40.0,78.36,38.36,1.959,High,High
5519-NPHVG,0.7635612664983307,879.43,Protection bundle,120.0,235.02,115.02,1.959,High,High
3440-JPSCL,0.5593283992091476,933.11,Courtesy call,40.0,78.29,38.29,1.957,High,High
8414-MYSHR,0.7864086450396647,853.29,Protection bundle,120.0,234.86,114.86,1.957,High,High
7479-NITWS,0.625144648061048,834.15,Courtesy call,40.0,78.22,38.22,1.955,High,High
7142-HVGBG,0.542112306409868,961.58,Courtesy call,40.0,78.19,38.19,1.955,High,High
5947-SGKCL,0.5299062404814404,983.52,Courtesy call,40.0,78.18,38.18,1.954,Medium,High
7668-XCFYV,0.7749053475659513,864.02,Protection bundle,120.0,234.34,114.34,1.953,High,High
1626-ERCMM,0.7580699665175196,882.69,Protection bundle,120.0,234.2,114.2,1.952,High,High
8327-LZKAS,0.3740348710766591,1391.42,Courtesy call,40.0,78.07,38.07,1.952,Medium,High
3138-BKYAV,0.6527128941689366,796.81,Courtesy call,40.0,78.01,38.01,1.95,High,High
4094-NSEDU,0.7597017641059384,879.89,Protection bundle,120.0,233.96,113.96,1.95,High,High
8266-VBFQL,0.6158161949055839,843.95,Courtesy call,40.0,77.96,37.96,1.949,High,High
7048-GXDAY,0.5232332713108073,993.32,Courtesy call,40.0,77.96,37.96,1.949,High,High
2832-KJCRD,0.5371067048774252,967.65,Courtesy call,40.0,77.96,37.96,1.949,High,High
0337-CNPZE,0.5238063221505718,992.39,Courtesy call,40.0,77.97,37.97,1.949,High,High
1751-NCDLI,0.5630419143315658,922.84,Courtesy call,40.0,77.94,37.94,1.948,High,High
3643-AHCFP,0.748491211655949,892.5,Protection bundle,120.0,233.81,113.81,1.948,High,High
3422-GALYP,0.7004109224912083,741.72,Courtesy call,40.0,77.93,37.93,1.948,High,Mid
2379-ENZGV,0.6552815086464809,792.14,Courtesy call,40.0,77.86,37.86,1.947,High,High
5366-IJEQJ,0.6268658627312318,828.08,Courtesy call,40.0,77.86,37.86,1.947,High,High
7714-YXSMB,0.5528859437693314,938.24,Courtesy call,40.0,77.81,37.81,1.945,Medium,High
4423-YLHDV,0.5318972219753721,974.65,Courtesy call,40.0,77.76,37.76,1.944,Medium,High
7005-CCBKV,0.6577376376411282,787.94,Courtesy call,40.0,77.74,37.74,1.943,High,High
9741-YLNTD,0.6305578560894104,821.08,Courtesy call,40.0,77.66,37.66,1.942,High,High
6088-BXMRG,0.5608404663204123,922.84,Courtesy call,40.0,77.63,37.63,1.941,High,High
4077-CROMM,0.5319438222225071,972.78,Courtesy call,40.0,77.62,37.62,1.94,High,High
7825-ECJRF,0.5195690811606454,995.19,Courtesy call,40.0,77.56,37.56,1.939,High,High
6518-LGAOV,0.5275606710492806,980.25,Courtesy call,40.0,77.57,37.57,1.939,High,High
9058-MJLZC,0.5852833575992573,883.16,Courtesy call,40.0,77.53,37.53,1.938,High,High
6900-PXRMS,0.5230738966495668,987.25,Courtesy call,40.0,77.46,37.46,1.937,High,High
7270-BDIOA,0.6148550801111902,840.22,Courtesy call,40.0,77.49,37.49,1.937,High,High
5716-LIBJC,0.38313606472855694,1347.43,Courtesy call,40.0,77.44,37.44,1.936,Low,High
3427-GGZZI,0.6205269618736292,831.81,Courtesy call,40.0,77.42,37.42,1.936,High,High
0302-JOIVN,0.5461424043632229,944.31,Courtesy call,40.0,77.36,37.36,1.934,High,High
2800-QQUSO,0.5493746068593506,936.38,Courtesy call,40.0,77.16,37.16,1.929,High,High
3904-UKFRE,0.6880038428343974,747.79,Courtesy call,40.0,77.17,37.17,1.929,High,High
0793-TWELN,0.6870323360268289,748.26,Courtesy call,40.0,77.11,37.11,1.928,High,High
6365-MTGZX,0.5729412300872578,896.23,Courtesy call,40.0,77.02,37.02,1.926,High,High
1932-UEDCX,0.5466147232544334,939.18,Courtesy call,40.0,77.01,37.01,1.925,Medium,High
5183-SNMJQ,0.577798037000554,887.83,Courtesy call,40.0,76.95,36.95,1.924,High,High
1724-BQUHA,0.7891069421728009,835.55,Protection bundle,120.0,230.77,110.77,1.923,High,High
4285-GYRQC,0.6361302874111087,805.21,Courtesy call,40.0,76.83,36.83,1.921,High,High
7969-AULMZ,0.7239193931043247,908.83,Protection bundle,120.0,230.27,110.27,1.919,High,High
5692-ICXLW,0.6039465481010409,846.75,Courtesy call,40.0,76.71,36.71,1.918,High,High
0236-HFWSV,0.7546055417176041,871.49,Protection bundle,120.0,230.17,110.17,1.918,High,High
2845-HSJCY,0.6274291419712712,814.54,Courtesy call,40.0,76.66,36.66,1.916,High,High
9190-MFJLN,0.5704814076060785,895.3,Courtesy call,40.0,76.61,36.61,1.915,Medium,High
4998-IKFSE,0.5439104477621488,937.78,Courtesy call,40.0,76.51,36.51,1.913,High,High
5192-EBGOV,0.8199978861737065,800.07,Protection bundle,120.0,229.62,109.62,1.913,High,High
0576-WNXXC,0.571848949021685,892.03,Courtesy call,40.0,76.52,36.52,1.913,High,High
8481-YYXWG,0.6111009879899014,834.15,Courtesy call,40.0,76.46,36.46,1.912,High,High
4143-OOBWZ,0.6710797638968967,759.0,Courtesy call,40.0,76.4,36.4,1.91,High,High
7398-SKNQZ,0.738977661577551,885.96,Protection bundle,120.0,229.15,109.15,1.91,High,High
7321-PKUYW,0.6046568271782811,841.62,Courtesy call,40.0,76.33,36.33,1.908,High,High
4847-TAJYI,0.7842996869022942,834.15,Protection bundle,120.0,228.98,108.98,1.908,High,High
4826-XTSOH,0.8136111495814278,803.34,Protection bundle,120.0,228.76,108.76,1.906,High,High
5701-YVSVF,0.6567652597536111,773.93,Courtesy call,40.0,76.24,36.24,1.906,High,High
9851-QXEEQ,0.5195894206152796,977.45,Courtesy call,40.0,76.18,36.18,1.905,High,High
8272-ONJLV,0.409921190615896,1238.11,Courtesy call,40.0,76.13,36.13,1.903,Medium,High
5666-CYCYZ,0.6069689527707922,836.02,Courtesy call,40.0,76.12,36.12,1.903,High,High
9912-GVSEQ,0.5787521668928827,876.16,Courtesy call,40.0,76.06,36.06,1.902,High,High
3318-NMQXL,0.7591131379091058,858.89,Protection bundle,120.0,228.2,108.2,1.902,High,High
6328-ZPBGN,0.73402264317289,888.3,Protection bundle,120.0,228.21,108.21,1.902,High,High
5277-ZLOOR,0.8161999109219339,798.67,Protection bundle,120.0,228.16,108.16,1.901,High,High
0952-KMEEH,0.5532727345525732,916.3,Courtesy call,40.0,76.04,36.04,1.901,Medium,High
7274-RTAPZ,0.7709798329324957,845.35,Protection bundle,120.0,228.11,108.11,1.901,High,High
1069-XAIEM,0.8203754103269413,794.0,Protection bundle,120.0,227.98,107.98,1.9,High,High
9801-GDWGV,0.5244319103833571,965.78,Courtesy call,40.0,75.97,35.97,1.899,High,High
7056-IMHCC,0.5317791381775278,951.31,Courtesy call,40.0,75.88,35.88,1.897,High,High
0376-YMCJC,0.5980555192859962,845.82,Courtesy call,40.0,75.88,35.88,1.897,High,High
3003-CMDUU,0.5689726407544443,888.3,Courtesy call,40.0,75.81,35.81,1.895,High,High
4060-LDNLU,0.7232005591477356,898.1,Protection bundle,120.0,227.33,107.33,1.894,High,High
9961-JBNMK,0.5577073045618401,903.7,Courtesy call,40.0,75.6,35.6,1.89,Medium,High
3027-ZTDHO,0.771456430472761,839.28,Protection bundle,120.0,226.61,106.61,1.888,High,High
